kind,start,end,class,src,motivo
data,106086,106090,padding,,all-0xFFFF filler (stray pcrel ref x1)
data,106240,106246,literal_pool,,pcrel refs 2/3 words (mov.lx2)
data,106498,106502,padding,,all-zero word filler
data,106806,106810,padding,,all-0xFFFF filler (stray pcrel ref x1)
data,107942,107948,literal_pool,,pcrel refs 1/3 words (movax1)
data,109162,109166,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,109354,109358,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,109862,109866,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,110754,110758,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,111166,111170,padding,,all-0xFFFF filler (stray pcrel ref x1)
data,111182,111186,padding,,all-zero word filler
data,111566,111570,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,111580,111584,literal_pool,,pcrel refs 1/2 words (movax1)
data,111740,111744,literal_pool,,pcrel refs 1/2 words (movax1)
data,111748,111754,literal_pool,,pcrel refs 2/3 words (movax1+mov.lx1)
data,112394,112398,padding,,all-0xFFFF filler (stray pcrel ref x1)
data,112694,112698,padding,,all-0xFFFF filler (stray pcrel ref x1)
data,112906,112910,padding,,all-0xFFFF filler (stray pcrel ref x1)
data,113170,113174,padding,,all-0xFFFF filler (stray pcrel ref x1)
data,113422,113426,padding,,all-0xFFFF filler (stray pcrel ref x1)
data,113474,113478,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,113638,113642,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,113930,113934,padding,,all-0xFFFF filler (stray pcrel ref x1)
data,113938,113942,padding,,all-zero word filler
data,114330,114334,padding,,all-zero word filler
data,115344,115348,literal_pool,,pcrel refs 1/2 words (mov.wx1)
data,116022,116026,padding,,all-0xFFFF filler (stray pcrel ref x1)
data,116642,116646,padding,,all-0xFFFF filler (stray pcrel ref x1)
data,117292,117296,literal_pool,,pcrel refs 1/2 words (mov.wx1)
data,117320,117326,literal_pool,,pcrel refs 2/3 words (movax1+mov.lx1)
data,117606,117610,literal_pool,,pcrel refs 2/2 words (mov.wx1+mov.lx1)
data,117618,117622,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,118406,118410,padding,,all-0xFFFF filler (stray pcrel ref x1)
data,118426,118430,padding,,all-zero word filler
data,118442,118446,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,118738,118742,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,119134,119138,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,119446,119450,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,119638,119642,padding,,all-0xFFFF filler (stray pcrel ref x1)
data,120254,120258,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,120278,120282,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,120342,120346,literal_pool,,pcrel refs 1/2 words (mov.lx1)
