addr_start,addr_end,word_count,class,notes
19116,19126,5,unknown_data,
19132,19136,2,unknown_data,
19138,19146,4,unknown_data,
19180,19190,5,unknown_data,
19194,19214,10,unknown_data,
19216,19230,7,padding,0x00xx-pattern run (high byte 0x00)
19232,19248,8,unknown_data,
19250,19254,2,unknown_data,
19268,19274,3,unknown_data,
19284,19300,8,padding,0x00xx-pattern run (high byte 0x00)
20506,20510,2,literal_pool,pcrel refs 1/2 words (mov.lx1)
20914,20918,2,literal_pool,pcrel refs 1/2 words (mov.lx1)
21594,21598,2,literal_pool,pcrel refs 2/2 words (mov.wx2)
21636,21642,3,literal_pool,pcrel refs 2/3 words (mov.lx2)
22250,22254,2,padding,all-0xFFFF filler (stray pcrel ref x1)
22898,22910,6,literal_pool,pcrel refs 5/6 words (mov.wx4+mov.lx1)
23182,23190,4,literal_pool,pcrel refs 4/4 words (mov.wx4)
23196,23206,5,literal_pool,pcrel refs 3/5 words (mov.lx3)
23212,23246,17,literal_pool,pcrel refs 9/17 words (mov.lx9)
23514,23522,4,literal_pool,pcrel refs 4/4 words (mov.wx4)
23596,23600,2,unknown_data,
23612,23616,2,unknown_data,
23704,23708,2,literal_pool,pcrel refs 1/2 words (mov.lx1)
23722,23726,2,unknown_data,
23896,23904,4,literal_pool,pcrel refs 4/4 words (mov.wx4)
23918,23930,6,literal_pool,pcrel refs 5/6 words (mov.wx3+mov.lx2)
24230,24238,4,literal_pool,pcrel refs 4/4 words (mov.wx4)
24250,24258,4,literal_pool,pcrel refs 4/4 words (mov.wx4)
24266,24270,2,literal_pool,pcrel refs 1/2 words (mov.lx1)
24600,24606,3,literal_pool,pcrel refs 2/3 words (mov.wx1+mov.lx1)
24792,24798,3,literal_pool,pcrel refs 2/3 words (mov.wx1+mov.lx1)
25138,25142,2,literal_pool,pcrel refs 1/2 words (mov.lx1)
25268,25272,2,literal_pool,pcrel refs 1/2 words (mov.lx1)
25522,25526,2,literal_pool,pcrel refs 1/2 words (mov.lx1)
25536,25542,3,literal_pool,pcrel refs 2/3 words (mov.lx2)
25580,25586,3,literal_pool,pcrel refs 2/3 words (mov.lx2)
25944,25950,3,literal_pool,pcrel refs 2/3 words (mov.lx2)
26388,26394,3,literal_pool,pcrel refs 2/3 words (mov.lx2)
26408,26414,3,literal_pool,pcrel refs 2/3 words (mov.lx2)
26440,26446,3,literal_pool,pcrel refs 2/3 words (mov.lx2)
26738,26742,2,padding,all-0xFFFF filler (stray pcrel ref x1)
27186,27190,2,literal_pool,pcrel refs 2/2 words (mov.wx2+mov.lx1)
27726,27730,2,literal_pool,pcrel refs 1/2 words (mov.lx1)
28050,28054,2,padding,all-0xFFFF filler (stray pcrel ref x1)
28314,28318,2,padding,all-0xFFFF filler (stray pcrel ref x1)
28618,28622,2,padding,all-0xFFFF filler (stray pcrel ref x1)
29056,29060,2,literal_pool,pcrel refs 2/2 words (mov.wx2)
29076,29082,3,literal_pool,pcrel refs 2/3 words (mov.lx2)
29324,29330,3,literal_pool,pcrel refs 2/3 words (mov.lx2)
29344,29348,2,literal_pool,pcrel refs 1/2 words (mov.lx1)
29494,29498,2,padding,all-zero word filler
29598,29602,2,padding,all-0xFFFF filler (stray pcrel ref x1)
29758,29762,2,padding,all-zero word filler
29870,29874,2,padding,all-0xFFFF filler (stray pcrel ref x1)
29934,29938,2,literal_pool,pcrel refs 2/2 words (mov.wx1+mov.lx1)
30178,30182,2,literal_pool,pcrel refs 2/2 words (mov.wx1+mov.lx1)
30684,30690,3,literal_pool,pcrel refs 2/3 words (mov.lx2)
31526,31530,2,padding,all-0xFFFF filler (stray pcrel ref x1)
31534,31538,2,literal_pool,pcrel refs 1/2 words (mov.lx1)
31606,31612,3,literal_pool,pcrel refs 1/3 words (movax1)
