addr,name,source
0x027132,alternatorControl,ghidra-hand
0x02718C,alternatorControlMain,ghidra-hand
0x0275CC,calculateEngineSpeedDelta,ghidra-hand
0x027700,looksForEngineSpeedDelta,ghidra-hand
0x027CA4,calculateEngineNotLeanCounter,ghidra-hand
0x0284D6,eShaftLearn?,ghidra-hand
0x02912E,largeFunction,ghidra-hand
0x0292BA,getSomeEngineConditions,ghidra-hand
0x029554,init420CAN,ghidra-hand
0x02955A,can420TX_getAndPack,ghidra-hand
0x029584,reset420CANTimer,ghidra-hand
0x02958C,can420TXPack,ghidra-hand
0x0295C4,updateCAN420Data,ghidra-hand
0x0295E8,getOdoBroadcastForCAN,ghidra-hand
0x0295F2,stubByte420TX,ghidra-hand
0x0295FA,setOilPressureGaugeStatus,ghidra-hand
0x029620,calcMILStatusForCAN,ghidra-hand
0x0296CC,scaleCoolantTempForCAN??,ghidra-hand
0x029738,canRX_216_stubs?,ghidra-hand
0x029768,CAN216RX_Main,ghidra-hand
0x02979A,can216RXTimer,ghidra-hand
0x029860,can216RXUnpack,ghidra-hand
0x0298A4,can216RXParse?,ghidra-hand
0x0299D0,can216ResetTimer,ghidra-hand
0x0299DA,CANRX216TimeoutCount,ghidra-hand
0x029A1C,CAN231TX_Main,ghidra-hand
0x029A46,can231SetupTx,ghidra-hand
0x029A6E,can231TxPack,ghidra-hand
0x029B52,can201TX_getAndPack,ghidra-hand
0x029B84,can201Pack,ghidra-hand
0x029BC4,getCAN201Values,ghidra-hand
0x029C1C,stubCAN201Byte2_3,ghidra-hand
0x029CE0,stubCAN201_byte7,ghidra-hand
0x029DC2,can203TX_getAndPack,ghidra-hand
0x029DF4,can203pack,ghidra-hand
0x029E28,getEngineTorqueMetricsForCAN,ghidra-hand
0x029E92,torqueCaltoCAN203_byte4,ghidra-hand
0x029ED4,can203EngineStatusPack,ghidra-hand
0x029F36,stubCAN203TX_byte6,ghidra-hand
0x029F3E,getActualEngineTorque_related1,ghidra-hand
0x02A0C0,calculateDesiredTorque_??,ghidra-hand
0x02A264,getEngineTorqueMaxCal,ghidra-hand
0x02A2A4,getEngineTorqueMax_Int,ghidra-hand
0x02A3E2,can251TX_getAndPack,ghidra-hand
0x02A414,can215TXpack,ghidra-hand
0x02A4A0,FUNC_ThrottleMapRelated1,ghidra-hand
0x02A8F4,canInitVals,ghidra-hand
0x02A9BA,CANHandler,ghidra-hand
0x02AA02,updateDSCRelatedCANStuff??,ghidra-hand
0x02AA62,checkCANFaults??,ghidra-hand
0x02AAF2,setOBDCANTXVars,ghidra-hand
0x02AC4C,canMessageSetup,ghidra-hand
0x02B1DC,dealsWithVehSpeed,ghidra-hand
0x02B744,CAN4B0RX_Main,ghidra-hand
0x02B79A,parseWheelSpeedsAndVehicleSpeed??,ghidra-hand
0x02B8AA,calculateIfVehicleMoving,ghidra-hand
0x02B8D2,calculateWheelspeed_LR_Validity,ghidra-hand
0x02B8FE,calculateWheelspeed_RR_Validity,ghidra-hand
0x02B92A,canrx4b0related,ghidra-hand
0x02B9F0,CAN212RX_Main,ghidra-hand
0x02BA68,can212RXSignalValidity??,ghidra-hand
0x02BB0C,calculateEngineMaxTorqueAllowed_??,ghidra-hand
0x02BE16,DSC_checkIfMode_x80,ghidra-hand
0x02BEA8,DSC_checkIfMode_x40,ghidra-hand
0x02BEDC,DSC_checkIfMode_x20,ghidra-hand
0x02BEFA,DSC_checkIfMode_x10,ghidra-hand
0x02BF36,can212RXUnpack,ghidra-hand
0x02BF6A,checkTorqueRequestValidity,ghidra-hand
0x02C0AC,CAN4C0RX_Main,ghidra-hand
0x02C132,can650TX_getAndPack,ghidra-hand
0x02C250,writeOilPressureLight??,ghidra-hand
0x02C2D0,writeOilPressureGauge??,ghidra-hand
0x02C37E,getInitalTimingValues??,ghidra-hand
0x02C388,getIgnitionRelatedCalsForSomething,ghidra-hand
0x02C3AE,crankingTimingInitSomething?,ghidra-hand
0x02C548,checkFuelCutStatusForSomething,ghidra-hand
0x02C5D0,calculateCruiseControlSwitchVolt,ghidra-hand
0x02C5F8,calculateCruiseControlDriverRequest,ghidra-hand
0x02C8AC,setGearBools,ghidra-hand
0x02C912,debounceGearConditionAutoTransMAYBE,ghidra-hand
0x02CADC,calculateGearRPMbased,ghidra-hand
0x02CB6A,debounceCalculatedGear,ghidra-hand
0x02CD2E,can231TX_getAndPack,ghidra-hand
0x02CD60,canPackandTx231,ghidra-hand
0x02CE0C,dscDerateInit?,ghidra-hand
0x02CEB8,getCondtionsForSomething,ghidra-hand
0x02CFFA,dscMapSelectModex20,ghidra-hand
0x02D0CE,dscPerRotorCut?,ghidra-hand
0x02D132,get3DLookupConditionalMultiplierOfSomeSort,ghidra-hand
0x02D1C0,arbitrateDSCFuelCut?,ghidra-hand
0x02D204,nothingFunc4,ghidra-hand
0x02D208,calculateTorqueRelatedParams,ghidra-hand
0x02D2B8,getRPMLoadBasedMult,ghidra-hand
0x02D2D0,getLeadingTimingTCModeA_4_val,ghidra-hand
0x02D2E8,getEngineTrqFromLookup,ghidra-hand
0x02D300,calculateTorqueRelated,ghidra-hand
0x02D320,calculateEngineMaxTorquePcnt??,ghidra-hand
0x02D38C,calculateEngTorqueWithLosses,ghidra-hand
0x02D3A2,calculateTotalRequestedTrqPcnt,ghidra-hand
0x02D3B8,calculateEngineTorqueWithTimingLoss??,ghidra-hand
0x02D456,getRPMBasedTorqueAdder,ghidra-hand
0x02D46E,getDesiredTorqueCalcVar2,ghidra-hand
0x02D486,getDesiredTorqueCalcVar3,ghidra-hand
0x02D586,calculateVehicleAccel,ghidra-hand
0x02D5A0,filterVehicleAccel,ghidra-hand
0x02D924,calculateCruiseControlDisableCondition,ghidra-hand
0x02D9BC,cruiseControlUndershootingPlausibilityMon,ghidra-hand
0x02DB00,cruiseControlOvershootPlausibilityMon,ghidra-hand
0x02DBC4,getCruiseControlAllowedBool??,ghidra-hand
0x02DCDC,calculateCruiseControlFFTorque,ghidra-hand
0x02DE64,calculateCruiseControlProportionalTorque??,ghidra-hand
0x02E50C,calculateCruiseControlFinalTorque,ghidra-hand
0x02E66C,cruiseControlStateStuff,ghidra-hand
0x02EB1E,nothingFunc3,ghidra-hand
0x02EB22,cruiseControlFunctions,ghidra-hand
0x02EB40,cruiseControlMain??,ghidra-hand
0x02EBEE,getCruiseControlE2Metrics,ghidra-hand
